Year,,inc,inc_eco
1999,,17500,20000
2000,,18000,20000
2001,,18000,20100
2002,,17000,20000
2003,,16000,18800
2004,,16000,19000
2005,,16000,19400
2006,,17000,20000
2007,,17500,20500
2008,,18400,21600
2009,,18000,21000
2010,,18000,21800
2011,,20000,23500
2012,,21000,25200
2013,,22200,27000
2014,,23200,28500
2015,,24800,30000
2016,,25200,31200
2017,,26600,32800
2018,,28500,35000
2019,,29000,35800
2020,,27500,34800
2021,,27500,35000
2022,,28300,36200
2023,,30000,38300
2024,,30000,39500
2025,,30000,40000