goods,2019,2014,2009
Consumption expenditures,100,2551.1,2156.1
Food and soft drinks,13.5,351.2,298.3
Alcoholic beverages and cigarette,1.5,27.8,26.7
Clothing and footwear,5.6,169.4,131.8
"Housing, water, electricity, gas and other fuels",11.3,264.7,211.1
Household equipment and housekeeping services,4.7,104.7,76.8
Health,8.2,168.3,141.7
Transportation,12,334,266.2
Communication,5,150.4,132.8
Entertainment and culture,7.3,146.8,112.3
Education,8.3,284.6,291.1
Restaurants and hotels,14.1,334.9,280.1
Other miscellaneous goods and services,8.4,214.3,187.2